section,feature_action,what_frontend_uses,data_flow,raises_aws_data_transfer_out,can_move_to_spaces_to_browser,size_example_use_or_save,browser_load_if_moved_to_direct_spaces_pct
Main happy path,Single file download,downloadFileNativeBrowser → GET /download-file-url → Chrome iframe,Spaces → Browser,No,Already there,"Example: 1 GB file → ~0 EC2 DTO Out (only ~1–5 KB JSON from API). ~1 GB leaves Spaces to browser. Save vs old proxy: ~1 GB EC2 Out avoided.","Already direct. Browser load ~10–20% (Chrome download manager; low tab RAM). Native path is light."
Main happy path,Multi-file download (2+),downloadMultipleFilesToDirectory → signed URL fetch,Spaces → Browser,No,Already there,"Example: 10 × 100 MB = 1 GB → ~0 EC2 DTO Out if signed fetch works. ~1 GB Spaces egress. Save vs proxy: ~1 GB EC2 Out avoided.","Already direct. Browser load ~40–70% on large multi-GB batches (FS Access stream; tab RAM can spike). Same as today's Direct Stream."
Main happy path,Folder download (Files / Nested / Favourites),downloadFolderNoZip → download-folder-entries → signed URLs,Spaces → Browser,No,Already there,"Example: 5 GB folder (many files) → ~0 EC2 DTO Out for file bodies; entries API maybe ~50–500 KB JSON. ~5 GB Spaces egress. Save vs zip proxy: ~5 GB EC2 Out avoided.","Already direct. Browser load ~40–70% for large folders (same Direct Stream risk)."
Main happy path,Card thumbnail (small public image),Listing file.url,Spaces → Browser,No,Already there,"Example: 200–800 KB per thumb from Spaces. ~0 EC2 DTO Out.","Already direct. Browser load ~5–10% (tiny images)."
Main happy path,Open image preview,getFileDefault,Spaces → Docker → Browser,Yes,Yes — presigned GET in img,"Example: 3–15 MB image → ~3–15 MB EC2 DTO Out per open. Move to Spaces→Browser: save that ~3–15 MB per preview. 100 previews/day × 8 MB ≈ ~800 MB/day EC2 Out.","Browser load ~10–25%. Same as loading any image URL; no extra vs Docker proxy for the user (decode still happens in browser either way)."
Main happy path,Play video,getFileDefault,Spaces → Docker → Browser,Yes,Yes — presigned URL in video,"Example: watch 500 MB of a 2 GB video → ~500 MB EC2 DTO Out (Range). Full play of 2 GB → ~2 GB EC2 Out. Move to Spaces→Browser: save ~500 MB–2 GB per session.","Browser load ~15–35%. <video> streams/buffers either way; direct Spaces is similar or slightly better (one less hop). Not heavy CPU."
Main happy path,Play audio,getFileDefault,Spaces → Docker → Browser,Yes,Yes — presigned URL in audio,"Example: 5–50 MB song/podcast → ~5–50 MB EC2 DTO Out per play. Move to Spaces→Browser: save that amount per play.","Browser load ~5–15%. Very light."
Main happy path,Open PDF / text / code / docs,getFile / getFileDefault,Spaces → Docker → Browser,Yes,Yes — presigned URL / fetch from Spaces,"Example: 20 MB PDF → ~20 MB EC2 DTO Out. 200 KB text file → ~200 KB. Move to Spaces→Browser: save full file size per open.","Browser load ~20–50% for large PDFs if fully buffered in tab; use streaming viewer to keep ~15–30%. Bigger docs = more RAM either path."
Main happy path,Zip (in-app),POST /zip-object,Spaces → Docker → Spaces,Mostly no DTO Out to user (JSON only),Partly — client-side zip after Spaces pulls or accept server cost,"Example: zip 2 GB of files → ~2 GB Spaces→EC2 + ~2 GB EC2→Spaces; client gets ~1–5 KB JSON. EC2 Data Transfer Out to browser: ~negligible. Other transfer still ~4 GB Spaces↔EC2.","If moved client-side: browser load ~70–95% (download all files + zip in JS/WASM = high RAM/CPU). Keep server zip to avoid crushing weak PCs."
Main happy path,Unzip,POST /unzip-object,Spaces → Docker → Spaces,Mostly no DTO Out to user (JSON only),Partly — same as zip,"Example: unzip 1.5 GB archive → ~1.5 GB into EC2 then writes back to Spaces. EC2 Out to browser: ~negligible JSON.","If moved client-side: browser load ~70–95% (download zip + extract + re-upload). Prefer keep on server."
